"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"LC","Saint Lucia","1991","TOTAL","139171","100","68157","100","71014","100","0.9597684963528318"
"LC","Saint Lucia","1991","0 - 4","17072","12.266923425138858","8568","12.570975835204015","8504","11.975103500718168","1.0075258701787395"
"LC","Saint Lucia","1991","5 - 9","18175","13.059473597229307","9063","13.297240195431137","9112","12.831272706790212","0.994622475856014"
"LC","Saint Lucia","1991","10 - 14","16470","11.8343620438166","8375","12.287806094751822","8095","11.399160728870363","1.0345892526250773"
"LC","Saint Lucia","1991","15 - 19","15723","11.29761228991672","7899","11.5894185483516","7824","11.017545836032332","1.009585889570552"
"LC","Saint Lucia","1991","20 - 24","14119","10.14507332705808","7039","10.327625922502458","7080","9.969865097023122","0.9942090395480226"
"LC","Saint Lucia","1991","25 - 29","11880","8.536261146359514","5801","8.511231421570784","6079","8.560283887684118","0.9542687942095739"
"LC","Saint Lucia","1991","30 - 34","8964","6.440997046798542","4310","6.323635136523027","4654","6.55363731095277","0.9260850880962613"
"LC","Saint Lucia","1991","35 - 39","7183","5.161276415345151","3481","5.107325733233563","3702","5.213056580392599","0.9403025391680173"
"LC","Saint Lucia","1991","40 - 44","5448","3.9146086469163834","2614","3.8352627022903008","2834","3.990762384881854","0.9223712067748765"
"LC","Saint Lucia","1991","45 - 49","4472","3.2133131183939185","2138","3.136875155890077","2334","3.286675866730504","0.9160239931448158"
"LC","Saint Lucia","1991","50 - 54","3829","2.751291576549712","1831","2.686444532476488","1998","2.8135297265327965","0.9164164164164165"
"LC","Saint Lucia","1991","55 - 59","3351","2.4078292172938327","1547","2.269759525800725","1804","2.5403441574900723","0.8575388026607539"
"LC","Saint Lucia","1991","60 - 64","3198","2.2978925207119296","1429","2.0966298399284007","1769","2.491058101219478","0.8078010175240249"
"LC","Saint Lucia","1991","65 - 69","2810","2.019098806504229","1259","1.8472057162140354","1551","2.1840763793054894","0.8117343649258543"
"LC","Saint Lucia","1991","70 - 74","2343","1.6835403927542374","1077","1.5801751837668914","1266","1.7827470639592193","0.8507109004739336"
"LC","Saint Lucia","1991","75 - 79","1787","1.2840318744566037","802","1.176694983640712","985","1.3870504407581605","0.8142131979695432"
"LC","Saint Lucia","1991","80 - 84","1305","0.9376953531985831","546","0.8010915973414323","759","1.06880333455375","0.7193675889328063"
"LC","Saint Lucia","1991","85 - 89","770","0.5532761854121907","294","0.4313570139530789","476","0.6702903652800857","0.6176470588235294"
"LC","Saint Lucia","1991","90 - 94","236","0.1695755581263338","76","0.11150725530759864","160","0.22530768580843216","0.475"
"LC","Saint Lucia","1991","95 - 99","34","0.02443037701820063","8","0.011737605821852487","26","0.03661249894387022","0.3076923076923077"
"LC","Saint Lucia","1991","100+","2","0.0014370810010706254","0","0","2","0.0028163460726054017","0"
"LC","Saint Lucia","1992","TOTAL","140992","100","69078","100","71914","100","0.9605640070083711"
"LC","Saint Lucia","1992","0 - 4","16894","11.98224012709941","8517","12.329540519412838","8377","11.648635870623245","1.0167124268831325"
"LC","Saint Lucia","1992","5 - 9","18211","12.916335678620063","9041","13.088103303511971","9170","12.75134188057958","0.9859323882224645"
"LC","Saint Lucia","1992","10 - 14","16440","11.660236041761236","8380","12.131213989982339","8060","11.20783157660539","1.0397022332506203"
"LC","Saint Lucia","1992","15 - 19","15755","11.174392873354517","7928","11.476881206751788","7827","10.88383346775315","1.012904050083046"
"LC","Saint Lucia","1992","20 - 24","14141","10.029647072174308","7046","10.200063696111641","7095","9.865950997024225","0.9930937279774489"
"LC","Saint Lucia","1992","25 - 29","12149","8.616800953245573","5939","8.597527432757172","6210","8.635314403315071","0.9563607085346216"
"LC","Saint Lucia","1992","30 - 34","9441","6.6961246028143435","4542","6.5751758881264655","4899","6.812303584837445","0.9271279853031231"
"LC","Saint Lucia","1992","35 - 39","7436","5.274058102587381","3594","5.202814210023451","3842","5.342492421503462","0.9354502863092139"
"LC","Saint Lucia","1992","40 - 44","5808","4.119382660009078","2793","4.043255450360462","3015","4.1925077175515195","0.9263681592039801"
"LC","Saint Lucia","1992","45 - 49","4625","3.2803279618701766","2209","3.1978343322041747","2416","3.3595683733348167","0.9143211920529801"
"LC","Saint Lucia","1992","50 - 54","3940","2.794484793463459","1883","2.7259040504936447","2057","2.860360986734155","0.91541079241614"
"LC","Saint Lucia","1992","55 - 59","3408","2.4171584203359053","1583","2.291612380207881","1825","2.5377534277053146","0.8673972602739726"
"LC","Saint Lucia","1992","60 - 64","3209","2.2760156604630053","1447","2.0947334896783345","1762","2.450148788831104","0.8212258796821793"
"LC","Saint Lucia","1992","65 - 69","2871","2.036285746709033","1287","1.8631112655259272","1584","2.202630920265873","0.8125"
"LC","Saint Lucia","1992","70 - 74","2385","1.6915853381752155","1084","1.5692405686325603","1301","1.8091053202436245","0.8332052267486548"
"LC","Saint Lucia","1992","75 - 79","1841","1.3057478438492964","834","1.2073308433944239","1007","1.4002836721639738","0.8282025819265144"
"LC","Saint Lucia","1992","80 - 84","1346","0.9546640944167045","569","0.8237065346419988","777","1.080457212781934","0.7323037323037324"
"LC","Saint Lucia","1992","85 - 89","793","0.5624432591920109","307","0.4444251425924317","486","0.6758072141724838","0.6316872427983539"
"LC","Saint Lucia","1992","90 - 94","260","0.18440762596459373","86","0.124496945481919","174","0.24195566927162998","0.4942528735632184"
"LC","Saint Lucia","1992","95 - 99","36","0.025533363595097596","9","0.013028750108572918","27","0.03754484523180465","0.3333333333333333"
"LC","Saint Lucia","1992","100+","3","0.0021277802995914663","0","0","3","0.004171649470200518","0"
"LC","Saint Lucia","1993","TOTAL","142793","100","69975","100","72818","100","0.9609574555741712"
"LC","Saint Lucia","1993","0 - 4","16823","11.781389844039975","8536","12.198642372275813","8287","11.380427916174572","1.0300470616628454"
"LC","Saint Lucia","1993","5 - 9","18019","12.618965915696148","8934","12.767416934619508","9085","12.476310802274163","0.9833791964777105"
"LC","Saint Lucia","1993","10 - 14","16549","11.589503687155533","8413","12.022865309038941","8136","11.173061605646955","1.0340462143559488"
"LC","Saint Lucia","1993","15 - 19","15775","11.047460309679046","7952","11.364058592354413","7823","10.743222829520175","1.0164898376581875"
"LC","Saint Lucia","1993","20 - 24","14119","9.887739595078191","7026","10.040728831725616","7093","9.740723447499244","0.9905540673903849"
"LC","Saint Lucia","1993","25 - 29","12374","8.66569089521195","6062","8.66309396212933","6312","8.668186437419319","0.9603929024081115"
"LC","Saint Lucia","1993","30 - 34","9941","6.961825859811055","4781","6.832440157198999","5160","7.086160015380813","0.9265503875968992"
"LC","Saint Lucia","1993","35 - 39","7660","5.364408619470142","3688","5.270453733476241","3972","5.4546952676536025","0.9284994964753273"
"LC","Saint Lucia","1993","40 - 44","6204","4.344750793106105","2993","4.277241872097178","3211","4.409623994067401","0.932108377452507"
"LC","Saint Lucia","1993","45 - 49","4801","3.362209632124824","2288","3.2697391925687747","2513","3.4510697904364305","0.9104655789892558"
"LC","Saint Lucia","1993","50 - 54","4051","2.836973801236755","1936","2.7667023937120403","2115","2.9045016342113215","0.9153664302600473"
"LC","Saint Lucia","1993","55 - 59","3491","2.444797714173664","1631","2.3308324401571987","1860","2.5543134939163394","0.8768817204301075"
"LC","Saint Lucia","1993","60 - 64","3206","2.245208098436198","1457","2.0821722043586997","1749","2.4018786563761707","0.8330474556889651"
"LC","Saint Lucia","1993","65 - 69","2934","2.054722570434125","1318","1.8835298320828868","1616","2.2192315086929053","0.8155940594059405"
"LC","Saint Lucia","1993","70 - 74","2430","1.7017640920773427","1092","1.5605573419078242","1338","1.837457771430141","0.8161434977578476"
"LC","Saint Lucia","1993","75 - 79","1894","1.3263955516026695","860","1.2290103608431584","1034","1.4199785767255348","0.8317214700193424"
"LC","Saint Lucia","1993","80 - 84","1383","0.9685348721575988","590","0.8431582708110039","793","1.0890164519761598","0.7440100882723834"
"LC","Saint Lucia","1993","85 - 89","815","0.5707562695650347","315","0.45016077170418006","500","0.686643412343102","0.63"
"LC","Saint Lucia","1993","90 - 94","278","0.1946874146491775","92","0.13147552697391926","186","0.255431349391634","0.4946236559139785"
"LC","Saint Lucia","1993","95 - 99","43","0.03011352097091594","11","0.015719899964272952","32","0.043945178389958525","0.34375"
"LC","Saint Lucia","1993","100+","3","0.002100943323552275","0","0","3","0.004119860474058612","0"
"LC","Saint Lucia","1994","TOTAL","144636","100","70905","100","73731","100","0.9616714814664117"
"LC","Saint Lucia","1994","0 - 4","17105","11.826239663707513","8739","12.324941823566745","8366","11.34665201882519","1.0445852259144155"
"LC","Saint Lucia","1994","5 - 9","17437","12.055781409884123","8670","12.227628517029828","8767","11.890520947769595","0.9889357819094331"
"LC","Saint Lucia","1994","10 - 14","16815","11.62573633120385","8479","11.958254001833438","8336","11.30596357027573","1.017154510556622"
"LC","Saint Lucia","1994","15 - 19","15713","10.863823667689925","7935","11.191030251745293","7778","10.549158427255835","1.0201851375674982"
"LC","Saint Lucia","1994","20 - 24","14079","9.734091097652037","7000","9.87236443128129","7079","9.601117576053491","0.98884023167114"
"LC","Saint Lucia","1994","25 - 29","12560","8.683868469813879","6163","8.691911712855228","6397","8.676133512362506","0.9634203532906049"
"LC","Saint Lucia","1994","30 - 34","10409","7.1966868552780765","5008","7.062971581693815","5401","7.325277020520541","0.9272356970931309"
"LC","Saint Lucia","1994","35 - 39","7917","5.473740977350038","3802","5.362104223961639","4115","5.581098859367159","0.9239368165249089"
"LC","Saint Lucia","1994","40 - 44","6594","4.559030946652285","3185","4.491925816232987","3409","4.623564036836609","0.9342915811088296"
"LC","Saint Lucia","1994","45 - 49","5006","3.4611023534942893","2382","3.359424582187434","2624","3.558882966459156","0.9077743902439024"
"LC","Saint Lucia","1994","50 - 54","4169","2.8824082524406096","1989","2.805161836259784","2180","2.956693927927195","0.9123853211009174"
"LC","Saint Lucia","1994","55 - 59","3586","2.4793274150280706","1690","2.383470841266483","1896","2.5715099483256703","0.8913502109704642"
"LC","Saint Lucia","1994","60 - 64","3223","2.2283525539976217","1472","2.076017206120866","1751","2.3748491136699625","0.8406624785836665"
"LC","Saint Lucia","1994","65 - 69","2987","2.065184324787743","1344","1.895493970806008","1643","2.228370698891918","0.8180158247108947"
"LC","Saint Lucia","1994","70 - 74","2483","1.716723360712409","1112","1.568295606797828","1371","1.859462098710176","0.8110867979576951"
"LC","Saint Lucia","1994","75 - 79","1940","1.341298155369341","882","1.2439179183414428","1058","1.43494595217751","0.833648393194707"
"LC","Saint Lucia","1994","80 - 84","1432","0.99007162808706","616","0.8687680699527536","816","1.1067258005452252","0.7549019607843137"
"LC","Saint Lucia","1994","85 - 89","835","0.577311319450206","325","0.4583597771666314","510","0.6917036253407658","0.6372549019607843"
"LC","Saint Lucia","1994","90 - 94","292","0.20188611410713792","97","0.13680276426204077","195","0.26447491557146924","0.49743589743589745"
